,Lyrics
headforfree,"CHECK! Joker Bruiser  Yeah Burn an ounce to this Bitch I put my house on it That if I pull my dick out You gon' put your mouth on it I know you wanna bounce on it And look back at me with confidence But if you don't spend no pounds on it then We gon' have some consequence  Bitch show me what that mouth do Spit all on it like ""achoo"" That boy Ra like Afu That bitch nasty like dog food Pulled up in the old school But them clothes is all new Them hoes be like who you But them white hoes they already knew  Now she all up on my thang This Alexander ring A couple grams of cocaine Now we up in P.F. Chang's Keep going back to that bathroom I said snort that shit off the bar A couple shots of that Cuervo Now she suckin my dick in the car  Now we chewin' on a pill 'Bout the size of this bitch nipple And when that wind blow hard You can hear that asshole whistle That's the type of bitch I like That's the kind of ho I love A blond hair blue-eyed ho With some dried up blood in her nose  Now I know nothin' 'bout you But I know a whole lot 'bout me And one thing's for certain I ain't paying for that pussy So if what's in your knees gon' cost me a fee Call me cheap and give that head up for free  Now give me head for free Head for free, head for free Cause you ain't gettin' my money Give me head for free Head for free, head for free Cause you ain't gettin' my money Give me head for free Head for free, head for free Cause you ain't gettin' my money  Style! Now give me head for free Head for free Pitchfork Style!"
danceinthewater,Can you work it Can you work it Break it down And just drop it low You deserve it You deserve it Get it out And let it all go Shake it Don't break it Bend over And touch yo toes You been waiting You been waiting Real playa Get down on the floor I know lately I know lately You been feeling Like you wanna let loose No debating No debating Do your thing And just do you No hating No hating Whatever it's All on you Put it on me Put it on me Lemme tell ya What we gon' do  Dance in the water And not get wet Not get wet Not get wet Dance in the water And not get wet Not get wet Not get wet Dance in the water And not get wet Not get wet Not get wet Dance in the water And not get wet Not get wet Not get wet  Is you wit it Is you wit it Lemme see you just Get get get it Get busy Get busy Back it up And just quit playing wit me If you want it If you want it It's all yours then Gone head and own it When you get it When you get it Go and give it to em right Cause you earned it Here we go now Here we go now Don't stop what you're doing Don't slow down Gone take that Gone take that Like P. Diddy Remix on a mixtape Better get back Better get back They ain't know You could do it like that Can I hit that Can I hit that Like a champion Boxing title match  Dance in the water And not get wet Not get wet Not get wet Dance in the water And not get wet Not get wet Not get wet Dance in the water And not get wet Not get wet Not get wet Dance in the water And not get wet Not get wet Not get wet  Bring it back now Bring it back now Get into it And just put it back now It's like that now It's like that now Make a playa Wanna go say his wedding vows Don't stop now Don't stop now Keep it going Just gone head get down I mean right now I mean right now See you showing off Gone head show out Do you like that Do you like that Can't never fall off Get it right back I mean right back I mean right back Bout to body slam That like Ryback Gotta fever Gotta fever Only remedy is you And I need ya He a monster He a creature He a tie u up And then eat ya  Dance in the water And not get wet Not get wet Not get wet Dance in the water And not get wet Not get wet Not get wet Dance in the water And not get wet Not get wet Not get wet Dance in the water And not get wet Not get wet Not get wet
fruitcocktail," Tryna get high to forget that I'm broke Tho it's high tide still gotta stay afloat Sweater over hoodie used to be my winter coat Dish detergent liquid when we ran out of soap Walk in to the store plastic bag filled with bottles Stolen basic cable on our ol' floor model Check in the fridge, nothing to eat Baby mama killing roaches with her bare feet My nigga hit me off I fucked up the sack Trip to Coney Island fucking with a hood rat Now a nigga back, right where I started Real true livin' definition of an artist So now a nigga old but ain't shit changed Hid this morning when the light people came Now point me to heaven cause this sure is hell Tell me what's the difference from being in a cell   Mama in the kitchen, scrapin' up a dinner Daddy play the lottery, hope he got a winner My brother on the block, tryna catch sales Sister on the pole, shake her fruit cocktail   I got locked up, I came back home Takin' county chances, just to keep my phone on My baby mama trippin', that bitch don't even work Stress a nigga out, got me payin' child support I'm flirtin' with the Beam, I got a date with death 38 revolver, got two bullets left Sometimes I daydream, about puttin' in myself Runnin' up to heaven, trippin' up the steps My nigga want a square, only got one left So I'm a bust it down with you If I had it dog, I'd blow a pound with you My nigga understand, that's just how shit goes That's why we get high, cause we feel so low And tho we livin' fast, the money comin' slow Got a lid up on my nigga, cause his time goin slow Said a pray for him quick, fans gotta let him know  "
thankgod,"Ain't no more food stamps, man they been stopped that Give it to you on the card if you follow these steps And my girl got one, mean we gon' eat good A week out the month mean we gon' be full And it's so hard, we depend on that But who cares if generic brands in the cabinet? So I'mma hit the hood, and see what's up though Maybe try to cop some gan, hopefully I serve some custos But if it don't work, I ain't gon' trip Cause when my girl get off of work we got to hit the market And I got to help her with the boxes out the car Yeah boxes, boxes out the car And it might sound hard but the stakes so soft And I love the way she cook, hook the rice up with the broth Yeah, pour another glass of pop y'all And thank God for a Bridge Card   Let's bow our heads, hold hands, and thank God Let's hit the market my baby and go hard Let's hit Save A Lot and we can buy it all Thank God for a Bridge Card (hey!)  They say the hood starving, but we be eating Frying wing dings with the fake Lawry seasoning Yeah Larry's, but it's still good though Just one swipe, we barbecuing in the hood, bro Eating cheese doodles, don't let the size fool you Tonight we eating shrimp, take a break from the noodles Yeah, and you know we out of place When welfare the only thing that put a smile on her face So baby cook some breakfast, I need my energy I hit the block fresh, time to serve these fiends Just trying to catch sales, you know how I do And she got the WIC Card, so that's mad Juicy Juice And I pipe her, call me the plumber Even let me hit the store, told me her PIN number Took the kids with me, told 'em go hard Yeah, and thank God for a Bridge Card   Let's bow our heads, hold hands, and thank God Let's hit the market my baby and go hard Let's hit Save A Lot and we can buy it all Thank God for a Bridge Card (hey!)"
floaton, Backwood of that good to the pain for the brain A cup of lean for me to sleep see I be going through things Music business got me stressed Xanax to maintain Waking up on wrong sides got me writing in vain Vicodin to numb me up help me cope with the struggle Remember praying to get in there saying rap to my brothers And now I got the whole world listening Give your ear for a second a life changing decision Every other minute thoughts run through my mind About how bad I wanted this but I cannot waste time So I'm trapped in the beat stuck on every line Nothing else matters except my next rhyme You can never understand all the pressure I'm against Getting high thinking how to make it better than your last shit Might have a mental breakdown If it wasn't for these pills here now And no matter how it gets I hold on Rolling up this dope to cope I float on Nigga I float on   I float on Let's go Hop up in the Chevy 4 door let's roll   Remember back when mommy sent me for the Wonder Bread And niggas jumped me stomped on my fucking head It's like I learned right then you either sink or you swim And to beat your enemy you gotta think like them So I was up late breaking day with the gremlins Music in my heart but my thoughts wouldn't listen Hood outta bye bye cause rap shit was sci-fi So I'm tormented with the things I seen with these eyes Can't get a wink unless I'm leaning off of syrup Dreaming of my past like a nightmare so I wake up Staring at the ceiling with this feeling that won't go away Until the verse is done wrote all day but them shits throwaway So I'm breaking day sniffing Adderall writing And not for the money for the life after dying Pray I get old just to hear I been the future Just to see my influence in this genre of music And might make it to see somehow If it wasn't for these pills here now And no matter how it gets I hold on Rolling up this dope to cope I float on Nigga I float on  
8mile,"Same nigga, notebook full of rhymes My nigga ace the face saw the signs My talent level excel my age So about age 9, knew that I would rock stage So it made me think of grades, sort of like catching AIDS Didn't hit class, I wrote in my notepad Mimic what I heard, got sicker with the verbs Figured this the quickest way to get the pick-up in the 'burbs Distribute herb, admit I used to dabble, but dawg The snares a better sound than the gavel Got so damn hungry, with work I used to travel Packets in some drawers, toothpaste in the packets Tryna leave my habitat, in ways that I've adapted Sleep different when you on somebody else's mattress Mental got scarred, change the pace could be advantage Everybody in the D tryna move to Atlanta   Click your seat fool, get ready to ride And say good bye we 'bout to go past 8 mile Brace yourselves only the strong survive If you alive, we 'bout to go past 8 mile It's too happy, hope your heater is dated Are you ready? we 'bout to go past 8 mile Tired of hating with the changes I'm making I've been waiting just to go past 8 mile  It's where the line divide, either side, kinda tell get a sense of your pride Where everyone ain't the same, but in the D that's how it is How can you judge one from where one is? The hook be on some other shit, checking our ID's Hate tela's go back over the 8 Used to talk to white girls that I knew I couldn't date Cause we was outta bonds, if we met either way Now tell me what's the call When we still gotta go over there to hit the mall So I'm a take this d shit far I'm the hybrid meaning sun take a hit past ours As the summer's get hotter, winter get colder Sons get locked, and our daughters having daughters Feel it's time to speak, before this shit be out of order Before you be the nigga, I'm here begging for quarters  "
scrapordie," We been lookin at the house for a bout a whole A family live there got put out last month My uncle sniffing blow while I'm rolling up a blunt His homey in the basment smoking crack with his aunt And tonights that night we bout to get right Piled up in a van with a couple flashlights This metal crowbars gonna get us through the door We come to take everything fuck the landlord So now we at the place skullys on bareface Bout to leave this bitch bare and strip the whole place My unc took outside he ripping down the gutters So we inside tearing up this motherfucker Bust open the walls just to get the wiring Took the hot water tank and left over appliances Aluminum siding and had to come back Cause the furnace so big it wouldn't fit in the back   Now it's copper bout by the pound Wire by the inch Got a check on the first And it's gone by the 5th Scrap or Die Nigga And you might be laughing at it cause you know the shit is true Rusty flat bed truck the color as doo-dooo Scrap or Die Nigga   Early morning next day at the junkyard Got four loads bout to get broke off But these niggas slick I sweat I'm going off Put the work on the scale and I swear that bitch was off Cause I know we had way more than at Fuck it, split it up ay I get more than at These niggas always slick on that bullshit Cheat you out a couple bucks on some dope fiend shit Now we back in the hood plot the next lick Got a school closed down and I think we should hit it Just waiting on my unc to get back from the clinic And we gone go over there and see what's up with it Now we up in it taking old computers Until we fucking heard ""Don't move or I shoot ya."" Fucked up hook caught us tryna cash in Now we gotta B&E case and trespassing  "
lie4," I'm balling now, yeah just like Kobe You callin now, yea bitch you know me You falling off, and I'm taking all yo hoes bitch I'm showing off, what the fuck I gotta lie for  What the fuck I got to lie for    I ain't never had shit Zilch zero nothing Now that a nigga got something Yea bitch I'm stunting Look at all this moneys Hundreds and these fiftys Eating at the Whitney Now yo bitch wanna come with me Cause we bout to go to the mall Tonight we popping bottles My baby momma a hoodrat But now I got me a model And she wanna swallow drink it all up Straight to the neck from the bottle, bitch cause she don't need a cup And we bout to go make it rain thunder fucking storm Kush nuggets to the brain pop fucking corn Shapow bitch wow been had hundreds Naw nigga I'm just lying my nigga I be fronting Got that income tax swag, that income tax swag That bad dame in my lap I just cop her a bag Got that income tax swag, that income tax swag That bad dame in my lap I just cop her a bag     I'm a blow it all now muthafuck a later Bout to a mink And sum diamond encrusted gators Car with a TV in it, maid and a butler too So what nigga this rented right gone have to do I'm a take it all with me when I'm gone bitch it's gone to Who cares when the kids get grown They better figure out what they gone do Cause right now nigga I got it Nigga What about you Broke ass niggas worth nothing I can buy ya'll in twos Cause a long time ago My nigga was just like you But we ain't talking bout the past It's about right now my dude Cause normally I be broke But right now I got cash Nah, nigga I'm lyin, you know that I be frontin Got that income tax swag, that income tax swag That bad dame in my lap I just cop her a bag Got that income tax swag, that income tax swag That bad dame in my lap I just cop her a bag"
grownup," Remember when my first meal was school lunch Now I spit a 16 straight with no punch Remember all for dinner all we ate was Captain Crunch Now we blow big blunts on the way to brunch Went from good fella to commissary slips Now I got back up man every time I slipped Never ever quit, I just kept on pursuing Teacher always ask me, what was I doing Scribbled in my notebook and never did homework Low attention span, guess these Adderall worked Rocked Tommy Hil shirts, ones with the boat Rockport kicks way before we even smoked Used to have baby lungs, choking when I hit it Nowadays lace a whole seven in a sitting Remember back then we thought we growed up Rushing at a kid just to be grown up   Rushing at a kid just to be grown up Whoever thought I'd be the greatest growing up   I can eat a pound and shit sixty four quarters Burn up fire and drown drops of water Son, I told you I got them beans like Goya Gone off them pills got me jumping off the sofa Hotter than a Hot Pocket out the devil microwave Model bitches begging just be a nigga's sex slave Exotic foreign garments lookin' tailor made And when these bitches see me man they wetter than the everglades Everyday same shit, me getting paid Waking up, new bitch, it's me getting laid Used to take bottle back, waitress bring the bottle back Now they see me shining and they looking like a Sour Patch Niggas catch a heart attack, Newport soft pack never blow blunt wraps But these blunt raps sewn up Whoever thought I'd be the greatest growing up  "
negrospiritual," I'm on par like Tiger with two white broads (Step) Off three Xanax, drunk driving in the rental car (Yeah) Boutta hit her with my best shot, like Pat Benatar (Hit her with your best shot) One got big tits, one got ass like centaur (Step) I been hard, mix Cialis with liquor (Ah), we been on Skin but it ain't winter (Yeah), you ain't know (No) Hoes look like centerfold (Oh), I'm so cold (Oh) Pussy slippery like a winter road (Oh), just lay low (Low) Gettin' heated like winter gloves (Oh), here we go (Yeah) Birds on me like scarecrow (Oh), I don't know (Yo) Told you, ""You are special,"" oh, oh, oh (Oh) Think you better call MACO, I'm on a spaceship Leg up, like Fabo, I guess so (Step) Who care what you say, so, you ain't slow (Step) Nigga better quit playin', bro, 'fore I blow .44 make you XO (Step)  You gon' get what you ask for (Ask for) You gon' get what you ask for (Ask for) You gon' get what you ask for (Ask for) You gon' get what you ask for (Step)   All these niggas gettin' physical (Step) On the outside, lookin' spiritual (Step) So hard for me, I took the backroads I took the backseat (Seat), I'm at your back door, huh All these niggas gettin' physical (Yeah) On the outside, lookin' spiritual (Yeah) I make it hard, backseat (Step) I took the back route (Step) I took the backroads (Step, let me hear that?)   On my wrists is vintage (Yeah), and it's mint condition (Yeah) Came a long way from not havin' a pot to piss in (Yeah) Season tickets for the Pistons, cut crack on dishes Every dream I have, I live it (Step) Nigga what's the business? Tell me what's happening Came a long way from coppin' eighths to half a rack (Step) Know I'm the latest fashion, jacket made her crash (Ah) Game was full of lames so I made a few extractions (Huh) It's the microphone magician, make the rappers disappear (Yeah) If I ain't holler at you yet, then you had a good year (Yeah) I'm in Bergdorf with my shirt off, tell your ho to take her skirt off (Yeah) I get the head, then there's nothin' else to talk 'bout (Step) So fuck who you talk bout (Fuck), nigga, get choked out (Step) Keep the same clothes for three days in the dope house (Yeah) And my knuckles so long, shit look like a slinky (Ha) My nigga said he had a lick, now he ain't never link me (Fuck)   All these niggas gettin' physical (Step) On the outside, lookin' spiritual (Step) So hard for me, I took the backroads I took the backseat (Seat), I'm at your back door, huh All these niggas gettin' physical (Yeah) On the outside, lookin' spiritual (Yeah) I make it hard, backseat (Step) I took the back route (Step) I took the backroads (Step, let me hear that?)"
pacblood," The Shakespeare of 16's, dipping my ink pen Made a sculpture of me but my dick was too thin Painting pictures of me but they never get my chin One writing scriptures bringing tears to the princess Every time I indent, you can see the intent Leave your mind bent, hanging on the every sentence Have no apprentice, style uninherited Laughing at you peasants cause my penmanship is excellence Whenever in the presence, eyes get wide I'm the town hero cause my words give them pride And what they feel inside, I say the perfect words for 'em Some say I'm a prophet with the visions I get cursed for Leave them all astonished, ride with the birds Make a grown man cry with shrimp on the words   Tears to Mona Lisa, Medusa to liquid Flow can make Gandhi grab the burner, wanna shoot shit Rhymes that make the Pope wanna get his dick sucked Had Virgin Mary doing lines in the pick-up Make Sarah Palin deep-throat 'til she hiccup Had T.D. Jakes round this bitch doing stick-ups Rhymes so real, thought I wrote it in Pac blood Told me in my dreams that these niggas is not thugs   What's in the portfolio? Sicker than polio Shit so personal, my mom can't listen to Oh so original, nigga's extra-crispy Bars so Bukowski, Soda Popinski Little Macs could never be number one, your time's done Bomb filling smelling like napalm, your day's gone Langston Hughes with a blew fuse and a screw loose Maya Angelou abused child with her notebook Spitting like Kipling with a tooth missing Tongue bring torture to men, women and children Memoir's sacred, hid in the basement Await my next piece at a formal engagement Crowds walk for miles just to hear that sound Start to get more power than the ones that wear crowns  "
